record_id,emp_id,effective_date,base_salary_idr,allowances_idr,total_idr,change_reason
SAL0035,EMP0012,2021-08-02,24003384,4519124,28522508,correction
SAL0036,EMP0013,2015-10-13,4498867,547455,5046322,initial
SAL0037,EMP0013,13/03/2017,4890652,705171,5595823,market_adjustment
SAL0038,EMP0013,2018-07-13,5389558,1014405,6403963,annual_review
SAL0039,EMP0013,2019-05-31,5952076,1083350,7035426,correction
SAL0040,EMP0014,2020-02-02,6870895,720701,7591596,initial
SAL0041,EMP0014,2020-10-14,7122422,738396,7860818,promotion
SAL0042,EMP0015,2021-09-08,9581219,989195,10570414,initial
SAL0043,EMP0015,2022-12-27,10832159,1441880,12274039,promotion
SAL0044,EMP0015,08/08/2023,11220857,2237141,13457998,market_adjustment
SAL0045,EMP0016,23-07-2022,4338344,725410,5063754,initial
SAL0046,EMP0016,2023-11-27,4812572,756672,5569244,correction
SAL0047,EMP0016,2025-03-08,5059410,885060,5944470,market_adjustment
SAL0048,EMP0017,24-08-2019,37085925,7163071,44248996,initial
SAL0049,EMP0017,2020-04-07,41618620,5695797,47314417,promotion
SAL0050,EMP0018,2018-03-06,4794693,872761,5667454,initial
SAL0051,EMP0018,08/04/2019,5423743,701199,6124942,annual_review
SAL0052,EMP0018,12-12-2019,5665874,753112,6418986,promotion
SAL0053,EMP0019,13-08-2015,38883411,5928344,44811755,initial
SAL0054,EMP0019,30-01-2017,41025347,4550950,45576297,annual_review
SAL0055,EMP0019,16/06/2018,44860133,6655731,51515864,annual_review
SAL0056,EMP0020,2018-03-31,8888425,1426394,10314819,initial
SAL0057,EMP0020,21-02-2019,9610577,1210605,10821182,promotion
SAL0058,EMP0021,2016-06-13,8412323,1678278,10090601,initial
SAL0059,EMP0021,2017-06-09,9600585,1500220,11100805,correction
SAL0060,EMP0021,29/08/2018,10728674,1601259,12329933,market_adjustment
SAL0061,EMP0022,23/10/2015,13018342,2452217,15470559,initial
SAL0062,EMP0022,17/08/2016,14515847,1453879,15969726,annual_review
SAL0063,EMP0023,2024-09-01,6100607,893669,6994276,initial
SAL0064,EMP0023,2025-04-29,6823505,1227933,8051438,annual_review
SAL0065,EMP0023,17/06/2025,7065460,1102505,8167965,promotion
SAL0066,EMP0024,2018-03-31,5336941,647017,5983958,initial
SAL0067,EMP0024,20-08-2019,5625896,705722,6331618,promotion
SAL0068,EMP0024,21/03/2020,6002452,930376,6932828,correction
SAL0069,EMP0025,2020-02-28,9217167,927367,10144534,initial
SAL0070,EMP0025,12/08/2021,9862312,1700653,11562965,market_adjustment
SAL0071,EMP0025,20/12/2022,11294453,1348575,12643028,annual_review
SAL0072,EMP0026,2019-06-29,36339279,6985426,43324705,initial
SAL0073,EMP0026,2020-08-27,41424581,6817045,48241626,annual_review
SAL0074,EMP0027,2018-09-26,8019538,926566,8946104,initial
SAL0075,EMP0027,15-11-2019,9118591,1728819,10847410,correction
SAL0076,EMP0027,04/01/2021,10250013,1975987,12226000,market_adjustment
SAL0077,EMP0028,2023-09-15,6234974,1144183,7379157,initial
SAL0078,EMP0028,2024-08-13,6844711,1064473,7909184,promotion
SAL0079,EMP0028,2025-02-18,7221111,1299464,8520575,promotion
SAL0080,EMP0029,2017-03-19,9724665,1746338,11471003,initial
SAL0081,EMP0029,18/10/2017,11147904,2052038,13199942,promotion
SAL0082,EMP0029,2018-10-06,12798175,2357943,15156118,correction
SAL0083,EMP0029,2020-01-21,14112326,2251186,16363512,annual_review
SAL0084,EMP0030,2020-03-15,35344207,6027128,41371335,initial
SAL0085,EMP0030,2021-02-19,39415181,5572792,44987973,promotion
SAL0086,EMP0031,2019-12-07,8084797,1517555,9602352,initial
SAL0087,EMP0031,11/12/2020,8765769,1066040,9831809,promotion
SAL0088,EMP0031,2021-11-10,9212836,1644439,10857275,promotion
SAL0089,EMP0032,12/12/2018,5631144,676918,6308062,initial
SAL0090,EMP0032,2019-07-27,6099953,1097396,7197349,annual_review
SAL0091,EMP0032,2020-10-05,6395735,1230307,7626042,promotion
SAL0092,EMP0033,2019-02-19,9072080,1699998,10772078,initial
SAL0093,EMP0033,2020-01-23,10188526,1802840,11991366,annual_review
SAL0094,EMP0034,2021-03-20,28296775,5156064,33452839,initial
SAL0095,EMP0034,2022-06-07,31443548,3789535,35233083,annual_review
SAL0096,EMP0035,09/09/2016,26226499,3827412,30053911,initial
SAL0097,EMP0035,30/11/2017,27377850,5290324,32668174,promotion
SAL0098,EMP0035,15/05/2019,30985562,4131273,35116835,annual_review
SAL0099,EMP0035,04/12/2019,32298492,3302457,35600949,promotion
SAL0100,EMP0036,2022-03-31,27725414,3637970,31363384,initial
SAL0101,EMP0036,12/01/2023,29624761,3811425,33436186,annual_review
SAL0102,EMP0036,08/04/2024,31648072,5288785,36936857,market_adjustment
SAL0103,EMP0037,2021-11-02,34148757,3924787,38073544,initial
SAL0104,EMP0037,18/09/2022,35642261,5558858,41201119,correction
SAL0105,EMP0037,08/05/2023,37595075,5824851,43419926,promotion
SAL0106,EMP0037,21-03-2024,39361548,6195834,45557382,promotion
SAL0107,EMP0038,2022-08-12,17873517,1914687,19788204,initial
SAL0108,EMP0038,18/12/2023,20323425,2933986,23257411,correction
SAL0109,EMP0038,20/08/2024,21003835,2322870,23326705,annual_review
SAL0110,EMP0039,09/03/2018,6225653,676180,6901833,initial
SAL0111,EMP0039,2019-03-24,6546136,1238054,7784190,correction
SAL0112,EMP0039,07/08/2020,7399365,1195970,8595335,market_adjustment
SAL0113,EMP0040,03/12/2018,7310471,973997,8284468,initial
SAL0114,EMP0040,10/09/2019,8155180,879573,9034753,correction
SAL0115,EMP0041,2022-03-20,9870436,1732994,11603430,initial
SAL0116,EMP0041,2023-05-12,10839068,1964961,12804029,annual_review
SAL0117,EMP0042,2020-09-13,5928727,1007053,6935780,initial
SAL0118,EMP0042,30/04/2021,6430712,945665,7376377,market_adjustment
SAL0119,EMP0042,2022-02-18,6734541,847240,7581781,correction
SAL0120,EMP0043,2023-08-05,16097668,2240919,18338587,initial
SAL0121,EMP0043,2025-01-24,18352496,3282855,21635351,promotion
SAL0122,EMP0043,16/06/2025,19976706,2947232,22923938,annual_review
SAL0123,EMP0044,2024-06-20,7474049,1105151,8579200,initial
SAL0124,EMP0044,14/03/2025,7951423,1275758,9227181,promotion
SAL0125,EMP0045,2024-10-29,17137316,2584220,19721536,initial
SAL0126,EMP0045,2025-06-04,19120322,2535105,21655427,annual_review
SAL0127,EMP0045,2025-06-28,21512115,3142865,24654980,correction
SAL0128,EMP0045,2025-06-17,22773349,3525198,26298547,annual_review
SAL0129,EMP0046,2024-01-27,41185807,5699359,46885166,initial
SAL0130,EMP0046,2025-01-15,43450555,6218419,49668974,correction
SAL0131,EMP0046,2025-06-12,48859245,8277406,57136651,correction
SAL0132,EMP0047,25/12/2019,4362986,725395,5088381,initial
SAL0133,EMP0047,2020-07-31,4880977,896512,5777489,correction
SAL0134,EMP0048,13/05/2024,4239752,675037,4914789,initial
SAL0135,EMP0048,2025-06-20,4649356,546845,5196201,market_adjustment
SAL0136,EMP0049,21/08/2020,4851011,518867,5369878,initial
SAL0137,EMP0049,2021-04-13,5395590,955744,6351334,correction
SAL0138,EMP0049,2022-04-22,5769444,629176,6398620,annual_review
SAL0139,EMP0050,2015-08-02,9426887,1073643,10500530,initial
SAL0140,EMP0050,2016-11-21,10731480,1885604,12617084,annual_review
SAL0141,EMP0050,2018-04-23,11245581,1452370,12697951,correction
SAL0142,EMP0051,2024-07-18,45655174,7204073,52859247,initial
SAL0143,EMP0051,24/04/2025,48151571,6258429,54410000,promotion
SAL0144,EMP0051,2025-06-21,54903393,9431256,64334649,market_adjustment
SAL0145,EMP0051,2025-06-28,60389737,11995948,72385685,correction
SAL0146,EMP0052,2016-08-26,38562614,7124970,45687584,initial
SAL0147,EMP0052,2017-07-22,40008298,7873231,47881529,correction
SAL0148,EMP0053,2019-08-27,6003537,1022614,7026151,initial
SAL0149,EMP0053,24/08/2020,6262672,1168413,7431085,promotion
SAL0150,EMP0053,2021-06-20,6774995,944616,7719611,correction
SAL0151,EMP0054,16-03-2019,4667161,798912,5466073,initial
SAL0152,EMP0054,2020-04-06,5020874,608136,5629010,correction
SAL0153,EMP0054,2020-12-30,5457612,848888,6306500,annual_review
SAL0154,EMP0055,16/11/2023,29148690,5609613,34758303,initial
SAL0155,EMP0055,13/12/2024,30562753,3466664,34029417,annual_review
SAL0156,EMP0055,2025-06-10,31537244,5228643,36765887,market_adjustment
SAL0157,EMP0056,06/07/2023,6569484,712567,7282051,initial
SAL0158,EMP0056,2024-11-25,7401922,1401614,8803536,market_adjustment
SAL0159,EMP0056,11-06-2025,8450310,996965,9447275,correction
SAL0160,EMP0057,13/05/2024,8136641,1158759,9295400,initial
SAL0161,EMP0057,2025-06-27,8756374,1038322,9794696,annual_review
SAL0162,EMP0057,30-06-2025,9626342,1648154,11274496,annual_review
SAL0163,EMP0057,2025-06-17,10985463,1501679,12487142,correction
SAL0164,EMP0058,31/08/2017,15635269,2451844,18087113,initial
SAL0165,EMP0058,2019-02-22,16795866,2488362,19284228,correction
SAL0166,EMP0058,2020-08-08,17461109,3463549,20924658,correction
SAL0167,EMP0059,2020-02-16,34375791,5035834,39411625,initial
SAL0168,EMP0059,2020-09-23,37565961,4088853,41654814,correction
SAL0169,EMP0059,18/11/2021,41535914,6994955,48530869,annual_review
SAL0170,EMP0060,13-06-2021,43092456,7748446,50840902,initial
SAL0171,EMP0060,18/05/2022,47555313,7299898,54855211,promotion
SAL0172,EMP0060,2022-11-19,51657636,9846229,61503865,correction
SAL0173,EMP0061,2017-09-12,24629539,4270305,28899844,initial
SAL0174,EMP0061,2018-10-12,26411479,3404990,29816469,promotion
SAL0175,EMP0062,2020-11-24,6148168,1042145,7190313,initial
SAL0176,EMP0062,24/03/2022,6885524,867881,7753405,correction
SAL0177,EMP0062,2023-08-08,7483044,1176978,8660022,annual_review
SAL0178,EMP0063,2015-06-28,26011220,5177181,31188401,initial
SAL0179,EMP0063,2016-11-08,26876763,2909436,29786199,market_adjustment
SAL0180,EMP0063,20-01-2018,27930962,3497098,31428060,promotion
SAL0181,EMP0064,13/11/2018,8582843,1099438,9682281,initial
SAL0182,EMP0064,2019-09-20,8854956,1420176,10275132,annual_review
SAL0183,EMP0064,2021-01-14,9905827,1356867,11262694,market_adjustment
SAL0184,EMP0065,18-10-2018,6735678,849539,7585217,initial
SAL0185,EMP0065,2020-04-08,7128661,1282711,8411372,annual_review
SAL0186,EMP0065,2020-10-21,7635806,1502226,9138032,annual_review
SAL0187,EMP0066,2015-06-01,24991571,4833224,29824795,initial
SAL0188,EMP0066,2016-02-14,28253313,5001875,33255188,market_adjustment
SAL0189,EMP0067,12/10/2020,18992095,3153955,22146050,initial
SAL0190,EMP0067,2022-03-02,19943104,3458854,23401958,correction
SAL0191,EMP0067,21-02-2023,20671408,3628832,24300240,promotion
SAL0192,EMP0068,17-03-2018,6486515,682720,7169235,initial
SAL0193,EMP0068,08/05/2019,6991486,1032129,8023615,promotion
SAL0194,EMP0068,02/08/2020,7397267,1090793,8488060,market_adjustment
SAL0195,EMP0069,25/11/2019,17435210,2668357,20103567,initial
SAL0196,EMP0069,2020-12-31,17983086,2485269,20468355,market_adjustment
SAL0197,EMP0069,2021-12-07,20598033,2260354,22858387,annual_review
SAL0198,EMP0070,2019-02-13,23913623,3915674,27829297,initial
SAL0199,EMP0070,20/03/2020,26382902,3522031,29904933,promotion
SAL0200,EMP0070,30-01-2021,29714481,4915795,34630276,promotion
SAL0201,EMP0071,2024-03-22,38124942,5570468,43695410,initial
SAL0202,EMP0071,2025-06-07,40374909,7148366,47523275,correction
SAL0203,EMP0071,2025-06-20,44869693,5892601,50762294,annual_review
SAL0204,EMP0072,31-05-2022,6044367,1011102,7055469,initial
SAL0205,EMP0072,31-12-2022,6234373,950906,7185279,annual_review
SAL0206,EMP0072,2024-06-13,6755024,1165410,7920434,annual_review
SAL0207,EMP0073,10-12-2018,19226115,2293828,21519943,initial
SAL0208,EMP0073,20/06/2019,21231930,4115821,25347751,annual_review
SAL0209,EMP0073,17/11/2020,24146565,4709760,28856325,annual_review
SAL0210,EMP0074,2015-11-04,25705254,2883590,28588844,initial
SAL0211,EMP0074,02/07/2016,26742881,3021697,29764578,correction
SAL0212,EMP0074,30-11-2017,29996498,5408968,35405466,correction
SAL0213,EMP0074,31-08-2018,34121622,4276584,38398206,annual_review
SAL0214,EMP0075,2022-08-09,40668429,6752902,47421331,initial
SAL0215,EMP0075,15/03/2023,45005865,7963153,52969018,promotion
SAL0216,EMP0075,30/08/2024,51234990,6441962,57676952,promotion
SAL0217,EMP0076,2019-01-23,28098497,3017770,31116267,initial
SAL0218,EMP0076,22/08/2019,30232181,6034218,36266399,promotion
SAL0219,EMP0076,2020-06-29,34605951,4076337,38682288,promotion
SAL0220,EMP0076,30-01-2021,37686109,6068601,43754710,annual_review
SAL0221,EMP0077,04/03/2019,6748440,1110444,7858884,initial
SAL0222,EMP0077,2019-10-25,7067403,861082,7928485,market_adjustment
SAL0223,EMP0077,2021-03-17,7369534,1264170,8633704,market_adjustment
SAL0224,EMP0078,2022-04-14,16732870,1731619,18464489,initial
SAL0225,EMP0078,16/11/2022,18382084,3266932,21649016,promotion
SAL0226,EMP0078,24/05/2023,20911118,3456326,24367444,annual_review
SAL0227,EMP0079,21/10/2020,6003639,1160439,7164078,initial
SAL0228,EMP0079,25-03-2022,6465067,1099097,7564164,annual_review
SAL0229,EMP0079,2023-04-09,7104829,1213224,8318053,correction
SAL0230,EMP0080,2017-05-28,5616884,837297,6454181,initial
SAL0231,EMP0080,2018-07-05,6057638,932954,6990592,annual_review
SAL0232,EMP0080,02/01/2019,6518811,730891,7249702,market_adjustment
SAL0233,EMP0081,26-01-2020,8245228,1595486,9840714,initial
SAL0234,EMP0081,2021-01-23,8822499,1235692,10058191,promotion
SAL0235,EMP0081,10-06-2022,10142714,1384840,11527554,annual_review
SAL0236,EMP0081,30/05/2023,10544921,1856383,12401304,market_adjustment
SAL0237,EMP0082,2021-03-02,7216174,1189075,8405249,initial
SAL0238,EMP0082,2021-11-27,7912802,1314106,9226908,market_adjustment
SAL0239,EMP0082,2022-10-26,8810951,1436728,10247679,annual_review
SAL0240,EMP0082,2023-10-24,9589666,1664117,11253783,market_adjustment
SAL0241,EMP0083,25/11/2023,6586963,682210,7269173,initial
SAL0242,EMP0083,2024-06-04,7353479,910717,8264196,correction
SAL0243,EMP0083,18-06-2025,7629669,1253865,8883534,correction
SAL0244,EMP0084,2017-08-27,8095827,1241851,9337678,initial
SAL0245,EMP0084,11/10/2018,9277727,962139,10239866,annual_review
SAL0246,EMP0085,15/06/2016,6235109,834082,7069191,initial
SAL0247,EMP0085,02/01/2017,6725568,1215379,7940947,annual_review
SAL0248,EMP0085,2018-06-07,7349528,844426,8193954,correction
SAL0249,EMP0085,26/09/2019,7775493,806223,8581716,annual_review
SAL0250,EMP0086,23/11/2020,17375493,2587027,19962520,initial
SAL0251,EMP0086,31/05/2021,18879278,1974398,20853676,correction
SAL0252,EMP0086,21-11-2022,20915490,2451816,23367306,annual_review
SAL0253,EMP0087,2020-01-18,15838156,3016633,18854789,initial
SAL0254,EMP0087,2020-09-03,17180315,3153192,20333507,annual_review
SAL0255,EMP0087,03-04-2021,19381732,2159473,21541205,annual_review
SAL0256,EMP0088,15-01-2017,44964128,8089834,53053962,initial
SAL0257,EMP0088,2017-11-03,46653574,6653786,53307360,annual_review
SAL0258,EMP0088,14-04-2019,50303797,9939292,60243089,annual_review
SAL0259,EMP0089,30-05-2018,8415780,1300982,9716762,initial
SAL0260,EMP0089,09/05/2019,9512955,1678302,11191257,annual_review
SAL0261,EMP0089,2020-09-03,9996343,1120335,11116678,annual_review
SAL0262,EMP0090,2024-06-26,17369560,3052787,20422347,initial
SAL0263,EMP0090,2025-03-19,19341968,2253351,21595319,correction
SAL0264,EMP0090,01-06-2025,21273037,2339965,23613002,annual_review
SAL0265,EMP0090,2025-06-11,22871402,2322888,25194290,annual_review
SAL0266,EMP0091,2021-11-21,23169958,2504029,25673987,initial
SAL0267,EMP0091,2022-05-23,24363895,4158286,28522181,annual_review
SAL0268,EMP0091,18-09-2023,27687856,4688948,32376804,market_adjustment
SAL0269,EMP0092,02/12/2016,9322898,1652542,10975440,initial
SAL0270,EMP0092,2018-05-20,9744545,1597935,11342480,annual_review
SAL0271,EMP0092,2019-08-10,10563576,2047315,12610891,annual_review
SAL0272,EMP0093,20/12/2017,25243127,4270313,29513440,initial
SAL0273,EMP0093,19/04/2019,26545673,4279294,30824967,market_adjustment
SAL0274,EMP0094,01/04/2018,16476750,2681083,19157833,initial
SAL0275,EMP0094,01/03/2019,17658832,2750734,20409566,annual_review
SAL0276,EMP0094,2019-12-04,18437603,3644729,22082332,correction
SAL0277,EMP0094,2021-04-13,19791442,2983640,22775082,correction
SAL0278,EMP0095,2022-09-21,7947063,1406893,9353956,initial
SAL0279,EMP0095,2024-02-20,8383937,1000806,9384743,annual_review
SAL0280,EMP0096,25/10/2018,9341236,1073511,10414747,initial
SAL0281,EMP0096,2019-12-21,10179161,1700065,11879226,annual_review
SAL0282,EMP0096,2020-07-10,10550530,1355811,11906341,promotion
SAL0283,EMP0097,10/10/2020,7823145,978974,8802119,initial
SAL0284,EMP0097,17/02/2022,8813699,919548,9733247,market_adjustment
SAL0285,EMP0098,16/01/2020,9105533,958317,10063850,initial
SAL0286,EMP0098,2021-04-15,9570885,1421335,10992220,annual_review
SAL0287,EMP0098,2021-12-10,9939394,1710970,11650364,annual_review
SAL0288,EMP0098,2023-04-07,10929073,1310124,12239197,market_adjustment
SAL0289,EMP0099,2019-09-09,47711402,9057402,56768804,initial
SAL0290,EMP0099,2020-07-02,53602664,6581238,60183902,promotion
SAL0291,EMP0100,02-08-2020,6994546,1215475,8210021,initial
SAL0292,EMP0100,2021-05-11,7519583,807249,8326832,annual_review
SAL0293,EMP0100,2022-09-02,8182275,936822,9119097,market_adjustment
SAL0294,EMP0100,2024-01-07,8874486,1218897,10093383,market_adjustment
SAL0295,EMP0101,30-05-2019,7919901,1362081,9281982,initial
SAL0296,EMP0101,2020-10-14,8498297,1021674,9519971,promotion
SAL0297,EMP0101,2021-06-16,8785975,931007,9716982,correction
SAL0298,EMP0102,27/07/2015,6572528,730279,7302807,initial
SAL0299,EMP0102,2016-09-17,7131386,1255366,8386752,annual_review
SAL0300,EMP0102,2017-07-06,8103886,937447,9041333,correction
SAL0301,EMP0103,2019-11-01,9332648,1528687,10861335,initial
SAL0302,EMP0103,08/03/2021,10626800,2093623,12720423,correction
SAL0303,EMP0104,29-07-2015,29344587,3608510,32953097,initial
SAL0304,EMP0104,22/08/2016,33242629,6190439,39433068,market_adjustment
SAL0305,EMP0104,2017-06-08,36599792,4681738,41281530,market_adjustment
SAL0306,EMP0104,2018-07-12,40931064,5107506,46038570,annual_review
SAL0307,EMP0105,2019-05-02,4910685,775626,5686311,initial
SAL0308,EMP0105,2020-08-26,5615615,1065985,6681600,correction
SAL0309,EMP0105,2021-09-23,6444603,1283296,7727899,annual_review
SAL0310,EMP0106,2016-05-01,49611380,8774300,58385680,initial
SAL0311,EMP0106,2016-11-14,53634055,7933921,61567976,market_adjustment
SAL0312,EMP0106,2018-05-04,60528978,9050807,69579785,market_adjustment
SAL0313,EMP0107,20/06/2023,16394044,2554990,18949034,initial
SAL0314,EMP0107,23-12-2023,18249508,3558533,21808041,market_adjustment
SAL0315,EMP0107,26-08-2024,19581880,3226389,22808269,annual_review
SAL0316,EMP0107,09/04/2025,20206769,2347628,22554397,promotion
SAL0317,EMP0108,2015-06-09,7926371,1472657,9399028,initial
SAL0318,EMP0108,2016-09-29,8187383,1198436,9385819,market_adjustment
SAL0319,EMP0108,2017-06-06,9291892,1101038,10392930,market_adjustment
SAL0320,EMP0109,2020-10-12,37429248,6089031,43518279,initial
SAL0321,EMP0109,2022-04-05,41397058,5732992,47130050,annual_review
SAL0322,EMP0109,2023-09-20,44292729,5742950,50035679,annual_review
SAL0323,EMP0109,2024-08-03,49331762,7609104,56940866,correction
SAL0324,EMP0110,2021-08-28,28329141,3419742,31748883,initial
SAL0325,EMP0110,09-02-2023,29454235,5112550,34566785,promotion
SAL0326,EMP0110,05-09-2023,32157202,6071208,38228410,promotion
SAL0327,EMP0111,2018-05-12,16861709,2331898,19193607,initial
SAL0328,EMP0111,2019-07-04,18620318,2544341,21164659,promotion
SAL0329,EMP0111,2020-11-26,20427510,3188240,23615750,annual_review
SAL0330,EMP0111,06/09/2021,21379609,2648148,24027757,promotion
SAL0331,EMP0112,2021-07-18,16905181,2787729,19692910,initial
SAL0332,EMP0112,2022-11-07,19179532,3362504,22542036,annual_review
SAL0333,EMP0112,2023-08-29,20492479,3081179,23573658,promotion
SAL0334,EMP0113,23-06-2021,7773893,992839,8766732,initial
SAL0335,EMP0113,2022-01-21,8354895,1241726,9596621,market_adjustment
SAL0336,EMP0113,2023-04-15,9437248,1613604,11050852,market_adjustment
SAL0337,EMP0114,2023-09-08,47760249,8718055,56478304,initial
SAL0338,EMP0114,2024-08-02,51783448,9320522,61103970,promotion
SAL0339,EMP0115,2017-02-20,5982574,1012983,6995557,initial
SAL0340,EMP0115,21/09/2017,6297271,684707,6981978,market_adjustment
SAL0341,EMP0115,06-10-2018,7164742,1403040,8567782,promotion
SAL0342,EMP0116,08/08/2019,6322740,701422,7024162,initial
SAL0343,EMP0116,24/06/2020,6597418,987190,7584608,annual_review
SAL0344,EMP0117,2017-04-29,31853699,4843952,36697651,initial
SAL0345,EMP0117,2018-09-12,32896042,6479120,39375162,market_adjustment
SAL0346,EMP0118,2020-02-26,8270942,1597715,9868657,initial
SAL0347,EMP0118,2021-04-23,8863174,1540161,10403335,market_adjustment
SAL0348,EMP0118,2021-10-30,9439120,964712,10403832,annual_review
SAL0349,EMP0118,24/08/2022,10668033,1754541,12422574,correction
SAL0350,EMP0119,03-11-2021,21907041,3458474,25365515,initial
SAL0351,EMP0119,02/04/2023,24262620,3605785,27868405,promotion
SAL0352,EMP0120,2018-05-04,8792799,1492018,10284817,initial
SAL0353,EMP0120,2019-08-07,9526388,1493024,11019412,promotion
SAL0354,EMP0121,2023-12-02,9767667,1747775,11515442,initial
SAL0355,EMP0121,25/08/2024,10985813,1630561,12616374,annual_review
SAL0356,EMP0121,06-06-2025,12430026,1681932,14111958,annual_review
SAL0357,EMP0122,2024-03-06,7912294,1547813,9460107,initial
SAL0358,EMP0122,2025-06-01,8302328,1067053,9369381,correction
SAL0359,EMP0122,2025-06-04,9256874,1074958,10331832,annual_review
SAL0360,EMP0123,2018-11-19,4245193,441988,4687181,initial
SAL0361,EMP0123,27-10-2019,4665225,588008,5253233,market_adjustment
SAL0362,EMP0124,2018-01-15,31190678,3758961,34949639,initial
SAL0363,EMP0124,31-07-2018,34617485,3973894,38591379,promotion
SAL0364,EMP0124,2019-09-13,37898668,5812302,43710970,annual_review
SAL0365,EMP0125,2017-09-07,17038264,3272086,20310350,initial
SAL0366,EMP0125,29/09/2018,19453067,3789047,23242114,annual_review
SAL0367,EMP0126,2016-02-15,20372365,2355153,22727518,initial
SAL0368,EMP0126,2017-05-19,23368571,3849373,27217944,promotion
SAL0369,EMP0126,15/04/2018,25398581,5002518,30401099,promotion
SAL0370,EMP0127,22-01-2015,9163183,1814942,10978125,initial
SAL0371,EMP0127,2016-05-09,10171376,1758166,11929542,correction
SAL0372,EMP0127,2017-06-19,10889903,1885739,12775642,annual_review
SAL0373,EMP0128,24/06/2023,5887802,612379,6500181,initial
SAL0374,EMP0128,2024-12-02,6453709,661373,7115082,promotion
SAL0375,EMP0129,2017-08-09,25360299,4668518,30028817,initial
SAL0376,EMP0129,2018-09-21,27208740,2870613,30079353,promotion
SAL0377,EMP0130,2024-05-18,8689860,1038568,9728428,initial
SAL0378,EMP0130,2025-06-23,9765264,1167647,10932911,promotion
SAL0379,EMP0130,13/06/2025,11053635,2184020,13237655,annual_review
SAL0380,EMP0130,2025-06-24,12035815,1931841,13967656,correction
SAL0381,EMP0131,15/05/2021,9956915,1051497,11008412,initial
SAL0382,EMP0131,2022-10-18,10687033,1833856,12520889,annual_review
SAL0383,EMP0131,20-11-2023,11481673,1162164,12643837,promotion
SAL0384,EMP0132,2020-07-16,36573601,4942391,41515992,initial
SAL0385,EMP0132,28-08-2021,41507972,5046104,46554076,annual_review
SAL0386,EMP0132,2022-10-09,46446728,8377529,54824257,market_adjustment
SAL0387,EMP0133,2018-09-16,7210618,839164,8049782,initial
SAL0388,EMP0133,2019-10-18,8057380,918192,8975572,market_adjustment
SAL0389,EMP0133,2021-02-09,8877236,1072178,9949414,annual_review
SAL0390,EMP0133,2022-04-08,10196445,2025664,12222109,correction
SAL0391,EMP0134,2023-11-13,6277309,1213499,7490808,initial
SAL0392,EMP0134,09-03-2025,7035191,708175,7743366,annual_review
SAL0393,EMP0134,2025-06-01,7476997,1163281,8640278,annual_review
SAL0394,EMP0134,2025-06-06,8522166,1010734,9532900,annual_review
SAL0395,EMP0135,10-04-2024,21405029,2760099,24165128,initial
SAL0396,EMP0135,15/06/2025,22155659,4064644,26220303,promotion
SAL0397,EMP0135,15-06-2025,24307277,2976475,27283752,market_adjustment
SAL0398,EMP0135,2025-06-26,25802690,2900678,28703368,market_adjustment
