review_id,emp_id,review_period,review_date,overall_score,reviewer_id,kpi_score,attitude_score,notes
PRF0040,EMP0401,2023-mid,2023-07-15,4.9,EMP0141,2.5,4.0,"Komunikasi tertulis perlu diperbaiki, laporan kurang detail."
PRF0041,EMP0304,2023-annual,2024-01-20,2.4,EMP0038,3.8,3.5,"Target tercapai 80%, masih ada ruang improvement di delivery."
PRF0042,EMP0239,2023-mid,2023-07-15,2.2,EMP0192,4.0,3.9,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0043,EMP0240,2023-annual,2024-01-20,4.9,EMP0486,2.1,3.6,Perlu fokus pada peningkatan kualitas output dan dokumentasi.
PRF0044,EMP0323,2024-mid,2024-07-15,2.7,EMP0066,3.1,4.1,"Performa konsisten, target tercapai sepanjang periode."
PRF0045,EMP0465,2022-mid,2022-07-15,3.8,EMP0003,3.0,2.5,Sangat baik dalam stakeholder management.
PRF0046,EMP0056,2024-annual,2025-01-20,3.7,EMP0496,4.8,3.7,"Solid performer, reliable dalam menyelesaikan task."
PRF0047,EMP0098,2023-annual,2024-01-20,3.9,EMP0436,2.5,2.5,"Kolaborasi tim sangat baik, leadership menonjol."
PRF0048,EMP0320,2024-mid,2024-07-15,1.6,EMP0009,2.9,3.9,"Solid performer, reliable dalam menyelesaikan task."
PRF0049,EMP0117,2022-mid,2022-07-15,2.2,EMP0151,1.8,4.8,"Performa konsisten, target tercapai sepanjang periode."
PRF0050,EMP0384,2023-mid,2023-07-15,2.3,EMP0090,4.8,3.7,"Performa konsisten, target tercapai sepanjang periode."
PRF0051,EMP0413,2023-mid,2023-07-15,1.9,EMP0367,4.0,3.5,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0052,EMP0255,2023-annual,2024-01-20,4.5,EMP0303,2.8,3.6,"Target tercapai 80%, masih ada ruang improvement di delivery."
PRF0053,EMP0075,2023-annual,2024-01-20,3.0,EMP0167,3.7,3.0,"Komunikasi tertulis perlu diperbaiki, laporan kurang detail."
PRF0054,EMP0477,2023-mid,2023-07-15,4.2,EMP0242,1.8,3.6,"Performa konsisten, target tercapai sepanjang periode."
PRF0055,EMP0172,2024-annual,2025-01-20,2.8,EMP0051,2.3,3.4,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0056,EMP0055,2022-mid,2022-07-15,4.3,EMP0114,2.6,3.4,"Top performer, kandidat kuat untuk promosi."
PRF0057,EMP0209,2022-mid,2022-07-15,3.8,EMP0337,3.2,3.5,"Sikap profesional baik, technical skill perlu diasah lagi."
PRF0058,EMP0297,2024-mid,2024-07-15,1.7,EMP0284,2.6,3.1,"Solid performer, reliable dalam menyelesaikan task."
PRF0059,EMP0486,2023-mid,2023-07-15,3.0,EMP0434,3.7,3.4,"Komunikasi tertulis perlu diperbaiki, laporan kurang detail."
PRF0060,EMP0287,2024-mid,2024-07-15,3.5,EMP0242,4.6,3.1,"Sikap profesional baik, technical skill perlu diasah lagi."
PRF0061,EMP0251,2022-mid,2022-07-15,2.7,EMP0036,2.7,3.7,Perlu fokus pada peningkatan kualitas output dan dokumentasi.
PRF0062,EMP0434,2022-mid,2022-07-15,1.6,EMP0486,2.7,4.7,"Target tercapai 80%, masih ada ruang improvement di delivery."
PRF0063,EMP0479,2023-mid,2023-07-15,3.9,EMP0110,2.9,3.7,Sangat baik dalam stakeholder management.
PRF0064,EMP0356,2022-annual,2023-01-20,1.8,EMP0157,1.9,3.5,"Komunikasi tertulis perlu diperbaiki, laporan kurang detail."
PRF0065,EMP0094,2022-mid,2022-07-15,4.6,EMP0278,4.4,4.7,"Performa di bawah ekspektasi, perlu PIP."
PRF0066,EMP0105,2023-annual,2024-01-20,2.3,EMP0367,2.7,2.5,Perlu fokus pada peningkatan kualitas output dan dokumentasi.
PRF0067,EMP0385,2024-mid,2024-07-15,2.0,EMP0426,4.5,4.7,"Top performer, kandidat kuat untuk promosi."
PRF0068,EMP0321,2023-annual,2024-01-20,4.3,EMP0125,1.7,3.4,Sangat baik dalam stakeholder management.
PRF0069,EMP0033,2022-mid,2022-07-15,4.2,EMP0492,3.8,3.5,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0070,EMP0499,2024-mid,2024-07-15,4.2,EMP0036,2.9,2.9,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0071,EMP0102,2023-mid,2023-07-15,1.7,EMP0223,3.7,2.6,"Kolaborasi tim sangat baik, leadership menonjol."
PRF0072,EMP0247,2023-annual,2024-01-20,4.4,EMP0069,2.8,2.9,"Kolaborasi tim sangat baik, leadership menonjol."
PRF0073,EMP0369,2024-annual,2025-01-20,2.6,EMP0124,1.7,2.6,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0074,EMP0038,2022-annual,2023-01-20,4.3,EMP0335,2.0,3.9,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0075,EMP0362,2024-mid,2024-07-15,4.6,EMP0335,3.1,2.1,Perlu lebih disiplin dalam time management.
PRF0076,EMP0343,2024-mid,2024-07-15,4.2,EMP0071,2.0,4.9,"Target tercapai 80%, masih ada ruang improvement di delivery."
PRF0077,EMP0484,2024-mid,2024-07-15,4.4,EMP0451,2.8,4.6,"Top performer, kandidat kuat untuk promosi."
PRF0078,EMP0317,2024-mid,2024-07-15,4.0,EMP0439,1.8,2.5,"Kolaborasi tim sangat baik, leadership menonjol."
PRF0079,EMP0392,2022-annual,2023-01-20,4.6,EMP0355,2.5,4.2,"Top performer, kandidat kuat untuk promosi."
PRF0080,EMP0269,2023-mid,2023-07-15,3.5,EMP0477,5.0,3.3,"Kolaborasi tim sangat baik, leadership menonjol."
PRF0081,EMP0403,2022-mid,2022-07-15,3.8,EMP0434,4.3,2.1,"Kolaborasi tim sangat baik, leadership menonjol."
PRF0082,EMP0407,2022-annual,2023-01-20,1.8,EMP0421,4.3,2.3,"Performa di bawah ekspektasi, perlu PIP."
PRF0083,EMP0398,2024-mid,2024-07-15,4.7,EMP0074,2.8,4.5,"Top performer, kandidat kuat untuk promosi."
PRF0084,EMP0326,2024-annual,2025-01-20,2.7,EMP0492,3.5,3.7,"Performa konsisten, target tercapai sepanjang periode."
PRF0085,EMP0261,2024-mid,2024-07-15,4.0,EMP0221,2.5,4.5,"Solid performer, reliable dalam menyelesaikan task."
PRF0086,EMP0482,2024-mid,2024-07-15,4.7,EMP0034,1.8,4.4,Sangat baik dalam stakeholder management.
PRF0087,EMP0066,2023-annual,2024-01-20,2.3,EMP0207,2.0,2.9,"Performa konsisten, target tercapai sepanjang periode."
PRF0088,EMP0055,2024-annual,2025-01-20,1.8,EMP0114,4.7,2.3,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0089,EMP0495,2023-mid,2023-07-15,1.9,EMP0216,4.3,4.2,Perlu lebih disiplin dalam time management.
PRF0090,EMP0377,2023-annual,2024-01-20,4.9,EMP0125,2.4,3.5,Perlu fokus pada peningkatan kualitas output dan dokumentasi.
PRF0091,EMP0026,2022-annual,2023-01-20,1.7,EMP0214,2.3,4.3,"Solid performer, reliable dalam menyelesaikan task."
PRF0092,EMP0110,2024-mid,2024-07-15,3.0,EMP0061,2.1,3.4,"Performa di bawah ekspektasi, perlu PIP."
PRF0093,EMP0367,2023-annual,2024-01-20,1.8,EMP0174,3.2,2.9,"Top performer, kandidat kuat untuk promosi."
PRF0094,EMP0408,2024-mid,2024-07-15,1.9,EMP0167,1.9,2.1,"Top performer, kandidat kuat untuk promosi."
PRF0095,EMP0481,2024-mid,2024-07-15,3.7,EMP0192,4.6,4.1,"Performa di bawah ekspektasi, perlu PIP."
PRF0096,EMP0367,2023-mid,2023-07-15,5.0,EMP0035,1.6,2.9,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0097,EMP0481,2022-annual,2023-01-20,2.6,EMP0192,1.6,3.9,"Solid performer, reliable dalam menyelesaikan task."
PRF0098,EMP0278,2023-mid,2023-07-15,1.7,EMP0430,3.4,3.6,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0099,EMP0399,2024-annual,2025-01-20,3.5,EMP0466,3.9,2.9,Perlu fokus pada peningkatan kualitas output dan dokumentasi.
PRF0100,EMP0303,2024-mid,2024-07-15,2.1,EMP0272,1.9,3.7,Sangat baik dalam stakeholder management.
PRF0101,EMP0278,2023-annual,2024-01-20,3.5,EMP0430,3.6,3.5,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0102,EMP0278,2024-annual,2025-01-20,3.8,EMP0430,2.2,3.2,"Performa di bawah ekspektasi, perlu PIP."
PRF0103,EMP0055,2024-mid,2024-07-15,4.0,EMP0114,3.9,2.3,"Top performer, kandidat kuat untuk promosi."
PRF0104,EMP0421,2023-mid,2023-07-15,2.3,EMP0261,3.0,4.6,"Inisiatif tinggi, proaktif mengambil tanggung jawab tambahan."
PRF0105,EMP0310,2023-annual,2024-01-20,3.2,EMP0035,5.0,4.9,Perlu lebih disiplin dalam time management.
PRF0106,EMP0212,2024-annual,2025-01-20,4.6,EMP0112,5.0,4.7,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0107,EMP0128,2022-mid,2022-07-15,1.5,EMP0243,3.8,4.1,"Komunikasi tertulis perlu diperbaiki, laporan kurang detail."
PRF0108,EMP0386,2024-mid,2024-07-15,1.8,EMP0262,1.9,3.5,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0109,EMP0005,2024-annual,2025-01-20,3.2,EMP0436,1.6,4.4,"Performa konsisten, target tercapai sepanjang periode."
PRF0110,EMP0003,2023-annual,2024-01-20,2.3,EMP0051,2.2,2.5,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0111,EMP0125,2023-annual,2024-01-20,4.6,EMP0235,2.4,4.9,"Kolaborasi tim sangat baik, leadership menonjol."
PRF0112,EMP0317,2023-mid,2023-07-15,3.6,EMP0439,3.0,4.9,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0113,EMP0333,2024-mid,2024-07-15,2.4,EMP0262,3.3,4.3,Perlu fokus pada peningkatan kualitas output dan dokumentasi.
PRF0114,EMP0331,2024-annual,2025-01-20,1.7,EMP0228,4.0,3.4,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0115,EMP0353,2023-mid,2023-07-15,4.0,EMP0299,2.8,4.6,"Sikap profesional baik, technical skill perlu diasah lagi."
PRF0116,EMP0426,2023-mid,2023-07-15,2.0,EMP0045,1.8,3.1,Perlu lebih disiplin dalam time management.
PRF0117,EMP0166,2023-annual,2024-01-20,2.2,EMP0172,2.9,4.5,Sangat baik dalam stakeholder management.
PRF0118,EMP0371,2024-annual,2025-01-20,3.2,EMP0350,3.7,4.2,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0119,EMP0356,2023-mid,2023-07-15,3.8,EMP0157,4.5,4.2,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0120,EMP0475,2023-mid,2023-07-15,1.7,EMP0486,4.2,4.1,"Sikap profesional baik, technical skill perlu diasah lagi."
PRF0121,EMP0147,2022-mid,2022-07-15,4.9,EMP0337,4.9,4.9,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0122,EMP0464,2022-mid,2022-07-15,4.5,EMP0385,3.6,4.6,"Target tercapai 80%, masih ada ruang improvement di delivery."
PRF0123,EMP0244,2023-annual,2024-01-20,1.7,EMP0361,2.9,3.4,"Performa konsisten, target tercapai sepanjang periode."
PRF0124,EMP0313,2022-annual,2023-01-20,3.6,EMP0167,2.5,4.7,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0125,EMP0405,2023-annual,2024-01-20,4.4,EMP0410,2.9,4.1,"Target tercapai 80%, masih ada ruang improvement di delivery."
PRF0126,EMP0071,2023-annual,2024-01-20,4.0,EMP0452,5.0,2.7,Perlu lebih disiplin dalam time management.
PRF0127,EMP0346,2023-mid,2023-07-15,3.1,EMP0051,1.6,2.3,Sangat baik dalam stakeholder management.
PRF0128,EMP0151,2024-annual,2025-01-20,3.3,EMP0151,1.5,2.1,"Sikap profesional baik, technical skill perlu diasah lagi."
PRF0129,EMP0121,2023-mid,2023-07-15,4.5,EMP0313,1.7,4.0,"Performa di bawah ekspektasi, perlu PIP."
PRF0130,EMP0419,2023-annual,2024-01-20,3.0,EMP0286,2.4,2.6,"Target tercapai 80%, masih ada ruang improvement di delivery."
PRF0131,EMP0453,2023-mid,2023-07-15,4.5,EMP0401,4.3,3.2,"Komunikasi tertulis perlu diperbaiki, laporan kurang detail."
PRF0132,EMP0306,2022-mid,2022-07-15,3.4,EMP0336,3.2,2.9,Perlu lebih disiplin dalam time management.
PRF0133,EMP0373,2023-annual,2024-01-20,3.4,EMP0106,3.3,2.6,"Komunikasi tertulis perlu diperbaiki, laporan kurang detail."
PRF0134,EMP0017,2024-annual,2025-01-20,2.1,EMP0344,3.1,3.8,"Performa konsisten, target tercapai sepanjang periode."
PRF0135,EMP0137,2022-annual,2023-01-20,4.4,EMP0300,3.2,2.4,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0136,EMP0180,2024-mid,2024-07-15,2.6,EMP0454,3.4,4.1,Sangat baik dalam stakeholder management.
PRF0137,EMP0352,2024-mid,2024-07-15,2.8,EMP0172,4.8,4.2,Perlu fokus pada peningkatan kualitas output dan dokumentasi.
PRF0138,EMP0109,2024-mid,2024-07-15,5.0,EMP0151,1.9,3.9,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0139,EMP0280,2023-mid,2023-07-15,4.6,EMP0286,4.8,4.3,"Target tercapai 80%, masih ada ruang improvement di delivery."
PRF0140,EMP0338,2024-annual,2025-01-20,4.7,EMP0440,3.3,2.5,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0141,EMP0250,2024-mid,2024-07-15,3.0,EMP0109,3.4,4.7,"Performa di bawah ekspektasi, perlu PIP."
PRF0142,EMP0232,2023-mid,2023-07-15,4.0,EMP0355,2.2,4.6,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0143,EMP0275,2023-mid,2023-07-15,3.7,EMP0058,2.0,2.7,"Performa konsisten, target tercapai sepanjang periode."
PRF0144,EMP0243,2024-mid,2024-07-15,1.6,EMP0327,3.9,3.2,"Sikap profesional baik, technical skill perlu diasah lagi."
PRF0145,EMP0412,2022-annual,2023-01-20,2.8,EMP0421,2.6,3.3,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0146,EMP0364,2023-annual,2024-01-20,2.5,EMP0038,3.0,3.4,Perlu lebih disiplin dalam time management.
PRF0147,EMP0174,2023-annual,2024-01-20,1.8,EMP0124,2.3,4.3,"Top performer, kandidat kuat untuk promosi."
PRF0148,EMP0359,2024-mid,2024-07-15,1.6,EMP0288,2.3,3.4,Perlu fokus pada peningkatan kualitas output dan dokumentasi.
PRF0149,EMP0038,2023-annual,2024-01-20,4.6,EMP0335,3.5,3.4,"Performa konsisten, target tercapai sepanjang periode."
PRF0150,EMP0260,2024-mid,2024-07-15,1.9,EMP0321,2.8,2.9,"Performa di bawah ekspektasi, perlu PIP."
PRF0151,EMP0164,2022-annual,2023-01-20,1.9,EMP0114,4.1,2.8,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0152,EMP0162,2024-annual,2025-01-20,1.8,EMP0465,3.0,3.6,Perlu lebih disiplin dalam time management.
PRF0153,EMP0021,2023-annual,2024-01-20,2.6,EMP0451,2.2,3.1,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0154,EMP0459,2024-annual,2025-01-20,1.8,EMP0182,3.4,2.4,"Kolaborasi tim sangat baik, leadership menonjol."
PRF0155,EMP0109,2022-mid,2022-07-15,4.7,EMP0171,4.5,4.6,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0156,EMP0239,2024-annual,2025-01-20,1.8,EMP0192,3.6,3.2,Perlu lebih disiplin dalam time management.
PRF0157,EMP0362,2022-mid,2022-07-15,4.2,EMP0017,2.7,4.1,"Kolaborasi tim sangat baik, leadership menonjol."
PRF0158,EMP0438,2024-annual,2025-01-20,2.8,EMP0157,2.7,2.8,Perlu lebih disiplin dalam time management.
PRF0159,EMP0459,2023-annual,2024-01-20,2.9,EMP0182,4.9,3.1,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0160,EMP0252,2023-annual,2024-01-20,2.4,EMP0262,4.5,4.3,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0161,EMP0050,2024-annual,2025-01-20,3.2,EMP0106,1.8,2.8,"Performa konsisten, target tercapai sepanjang periode."
PRF0162,EMP0344,2022-annual,2023-01-20,2.5,EMP0088,4.3,2.8,Sangat baik dalam stakeholder management.
PRF0163,EMP0167,2024-annual,2025-01-20,2.5,EMP0151,2.7,3.7,Sangat baik dalam stakeholder management.
PRF0164,EMP0014,2024-annual,2025-01-20,2.9,EMP0440,3.0,2.0,"Performa konsisten, target tercapai sepanjang periode."
PRF0165,EMP0338,2022-mid,2022-07-15,4.5,EMP0440,1.8,4.9,Sangat baik dalam stakeholder management.
PRF0166,EMP0267,2024-mid,2024-07-15,4.9,EMP0242,2.0,4.3,"Target tercapai 80%, masih ada ruang improvement di delivery."
PRF0167,EMP0289,2022-annual,2023-01-20,4.9,EMP0367,2.8,3.8,"Komunikasi tertulis perlu diperbaiki, laporan kurang detail."
PRF0168,EMP0208,2024-mid,2024-07-15,2.4,EMP0319,1.9,2.3,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0169,EMP0082,2022-annual,2023-01-20,4.0,EMP0393,4.2,4.2,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0170,EMP0099,2022-annual,2023-01-20,2.9,EMP0099,3.4,3.6,Sangat baik dalam stakeholder management.
PRF0171,EMP0388,2024-annual,2025-01-20,4.3,EMP0301,1.7,3.7,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0172,EMP0272,2023-mid,2023-07-15,3.9,EMP0119,3.1,4.9,"Solid performer, reliable dalam menyelesaikan task."
PRF0173,EMP0150,2022-mid,2022-07-15,2.4,EMP0088,4.2,3.8,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0174,EMP0124,2022-annual,2023-01-20,3.9,EMP0174,4.7,2.1,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0175,EMP0220,2024-mid,2024-07-15,2.2,EMP0034,4.3,4.4,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0176,EMP0180,2022-annual,2023-01-20,4.1,EMP0465,4.8,2.7,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0177,EMP0299,2023-mid,2023-07-15,3.3,EMP0298,2.4,2.8,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0178,EMP0370,2022-mid,2022-07-15,4.1,EMP0107,3.2,3.4,"Performa konsisten, target tercapai sepanjang periode."
PRF0179,EMP0396,2022-annual,2023-01-20,3.9,EMP0452,2.1,3.5,"Solid performer, reliable dalam menyelesaikan task."
PRF0180,EMP0416,2022-annual,2023-01-20,2.7,EMP0104,3.8,3.0,Perlu lebih disiplin dalam time management.
PRF0181,EMP0446,2024-annual,2025-01-20,1.9,EMP0129,4.3,3.8,Perlu fokus pada peningkatan kualitas output dan dokumentasi.
PRF0182,EMP0436,2023-annual,2024-01-20,2.4,EMP0207,3.6,3.2,"Solid performer, reliable dalam menyelesaikan task."
PRF0183,EMP0167,2022-annual,2023-01-20,2.5,EMP0163,4.4,4.9,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0184,EMP0083,2023-annual,2024-01-20,3.9,EMP0261,4.4,4.1,Perlu fokus pada peningkatan kualitas output dan dokumentasi.
PRF0185,EMP0125,2023-mid,2023-07-15,4.5,EMP0235,2.0,3.0,"Performa di bawah ekspektasi, perlu PIP."
PRF0186,EMP0376,2024-annual,2025-01-20,1.5,EMP0393,1.5,3.2,"Komunikasi tertulis perlu diperbaiki, laporan kurang detail."
PRF0187,EMP0385,2023-mid,2023-07-15,4.1,EMP0426,5.0,4.8,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0188,EMP0440,2022-mid,2022-07-15,1.7,EMP0304,5.0,2.6,"Kolaborasi tim sangat baik, leadership menonjol."
PRF0189,EMP0151,2024-mid,2024-07-15,3.5,EMP0209,4.2,4.1,Perlu fokus pada peningkatan kualitas output dan dokumentasi.
PRF0190,EMP0243,2022-annual,2023-01-20,3.5,EMP0327,2.3,4.0,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0191,EMP0139,2024-mid,2024-07-15,2.9,EMP0436,2.2,2.7,"Top performer, kandidat kuat untuk promosi."
PRF0192,EMP0374,2022-mid,2022-07-15,3.0,EMP0119,4.7,3.5,"Sikap profesional baik, technical skill perlu diasah lagi."
PRF0193,EMP0098,2022-annual,2023-01-20,4.0,EMP0436,3.9,4.1,"Performa konsisten, target tercapai sepanjang periode."
PRF0194,EMP0067,2022-annual,2023-01-20,1.7,EMP0439,3.1,3.4,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0195,EMP0143,2023-annual,2024-01-20,1.9,EMP0132,4.0,2.9,Sangat baik dalam stakeholder management.
PRF0196,EMP0265,2022-mid,2022-07-15,2.7,EMP0269,2.9,2.2,Perlu lebih disiplin dalam time management.
PRF0197,EMP0155,2023-annual,2024-01-20,2.3,EMP0337,4.5,4.6,"Hasil kerja exceed expectation, bonus direkomendasikan."
PRF0198,EMP0431,2024-mid,2024-07-15,4.8,EMP0379,3.5,3.7,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0199,EMP0174,2022-mid,2022-07-15,4.7,EMP0367,2.5,3.9,"Komunikasi tertulis perlu diperbaiki, laporan kurang detail."
PRF0200,EMP0316,2022-annual,2023-01-20,3.7,EMP0344,4.6,2.7,Perlu lebih disiplin dalam time management.
PRF0201,EMP0166,2023-mid,2023-07-15,2.7,EMP0172,2.0,5.0,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0202,EMP0182,2024-annual,2025-01-20,4.6,EMP0164,2.2,2.6,"Top performer, kandidat kuat untuk promosi."
PRF0203,EMP0244,2022-mid,2022-07-15,3.9,EMP0361,4.3,4.1,Cocok untuk rotasi ke tim/proyek strategis berikutnya.
PRF0204,EMP0498,2022-annual,2023-01-20,2.9,EMP0019,3.2,5.0,Perlu improvement di komunikasi dengan tim cross-functional.
PRF0205,EMP0020,2022-mid,2022-07-15,3.8,EMP0109,1.7,2.4,"Komunikasi tertulis perlu diperbaiki, laporan kurang detail."
